Ragione Sociale;Tipo Organizzazione;Partita Iva O CF;Indirizzo;Comune;CAP;Provincia;Stato;Telefono;Email;Codice Ateco;Descrizione Ateco;Descrizione O Brand;Sito;Forma Giuridica;Anno Costituzione;Settore;Attivita;Legale Cognome;Legale Nome;Legale Email;Legale Telefono;Data Convenzione;Scadenza Convenzione;Numero Protocollo
APA SERVIZI SRL;AZIENDA;09265300153;VIA EDOARDO JENNER, 73;MILANO;20159;MI;ITALIA;0362342186;b.minotti@apaconfartigianato.it;69.20.13;Servizi forniti da revisori contabili, periti, consulenti ed altri soggetti che svolgono attività in materia di amministrazione, contabilità e tributi;;;SRL;;Servizi avanzati alle imprese;SERVIZI ALLE IMPRESE;BARZAGHI;GIOVANNI;;;10-07-2018;10-07-2019;3561/B1C
APA SERVIZI SRL;AZIENDA;09265300153;VIA EDOARDO JENNER, 73;MILANO;20159;MI;ITALIA;0362342186;b.minotti@apaconfartigianato.it;69.20.13;Servizi forniti da revisori contabili, periti, consulenti ed altri soggetti che svolgono attività in materia di amministrazione, contabilità e tributi;;;SRL;;Servizi avanzati alle imprese;SERVIZI ALLE IMPRESE;BARZAGHI;GIOVANNI;;;10-07-2018;10-07-2019;3561/B1C
APA SERVIZI SRL;AZIENDA;09265300153;VIA EDOARDO JENNER, 73;MILANO;20159;MI;ITALIA;0362342186;b.minotti@apaconfartigianato.it;69.20.13;Servizi forniti da revisori contabili, periti, consulenti ed altri soggetti che svolgono attività in materia di amministrazione, contabilità e tributi;;;SRL;;Servizi avanzati alle imprese;SERVIZI ALLE IMPRESE;BARZAGHI;GIOVANNI;;;10-07-2018;10-07-2019;3561/B1C
APA SERVIZI SRL;AZIENDA;09265300153;VIA EDOARDO JENNER, 73;MILANO;20159;MI;ITALIA;0362342186;b.minotti@apaconfartigianato.it;69.20.13;Servizi forniti da revisori contabili, periti, consulenti ed altri soggetti che svolgono attività in materia di amministrazione, contabilità e tributi;;;SRL;;Servizi avanzati alle imprese;SERVIZI ALLE IMPRESE;BARZAGHI;GIOVANNI;;;10-07-2018;10-07-2019;3561/B1C
ARCH. ADRIANO MARCO BERTOLDI;LIBERO PROFESSIONISTA;2870220965;VIA DELLA BIRONA 14, MONZA;MUGGIO';20053;MI;ITALIA;39386566;adriano@studioarchitetturabertoldi.it;71.11;Attività degli studi di architettura;;;;;;;BERTOLDI;ADRIANO MARCO;adriano@studioarchitetturabertoldi.it  ;39386566;29-11-2017;28-11-2018;6646/b4c
ARCH. GIORGIO FEDERICO BRAMBILLA;LIBERO PROFESSIONISTA;IT00037900966;VIA DELLA CASCINETTA,16 (FRAZIONE OMATE);AGRATE BRIANZA;20864;MB;ITALIA;39654109; giorgiofedericobrambilla@gmail.com ;;;;;;;;;BRAMBILLA;GIORGIO FEDERICO;giorgiofedericobrambilla@gmail.com ;;21-05-2021;21-05-2022;1788
ARCH. ILARIA MEANI;LIBERO PROFESSIONISTA;012340123450;VIA UMBERTO, 14;ARCORE;20862;MB;ITALIA;039-617231 ;ilaria.meani@meanire.it;;;;;;;;;MEANI;ILARIA;ilaria.meani@meanire.it;;;;
ARCH. LUCA MARTINI;LIBERO PROFESSIONISTA;9330350969;VIA MADONNINA,14;AGRATE BRIANZA;20864;MB;ITALIA;;luca@martiniassociati.com;71.11;;;;;;;;MARTINI;LUCA;luca@martiniassociati.com;;;;
ARCH. MARCO ERBA;LIBERO PROFESSIONISTA;5146640965;VIA D'ANNUNZIO, 4;MUGGIO';20835;MB;ITALIA;; gaia@marcoerba.com;;;;;;;;;ERBA;MARCO;;039 731256;;;
ARCHILABO;AZIENDA;5566440961;VIA SAVONAROLA, 3;MONZA;20900;MB;ITALIA;039/2027793;info@archilaboratorio.it;74.20;Attività fotografiche;STUDIO DI ARCHITETTURA;;;;;ARCHITETTURA;POLLASTRI;MARCO ISIDORO;Info@archilaboratorio.it;;10-01-2018;10-01-2019;6716/b4c
ARIANNA2002;AZIENDA;01132230119;VIA NAPOLI;LA SPEZIA;19100;SP;ITALIA;0187/751563;giovanni@arianna2002.it;;;;;;;Agenzia Viaggi;;PIETRINI;ARIANNA;incoming@arianna2002.it;;16-04-2018;15-04-2019;2145/b4c
AROSOFT S.R.L;AZIENDA;05075300961;VIA C. COLOMBO,7 LISSONE;LISSONE;20851;MB;ITALIA;;info@arosoft.it;;;;;;;;;AROSIO;MARCO;;;08-01-2018;07-01-2019;1049/b4c
ARTE CASA DESIGN SRL;AZIENDA;9354600968;VIALE EUROPA 11;MONZA;20900;MB;ITALIA;335459694;info@artecasadesign.com;;;;;;;;;NOCITA;SALVATORE;;;21-09-2018;;4581/B4C
ASCO NUMATICS SIRAI SRL;AZIENDA;801140153;STRADA PER CERNUSCO, 19;BUSSERO;20060;MI;ITALIA;;sirai.web@emerson.com;28.14.00;Fabbricazione di altri rubinetti e valvole;;;;;;;COLOMBO;MARCO;marco.colombo@emerson.com;02-950371;;;
ASD C JUMPING TEAM;AZIENDA;94059920150;STRADA VICINALE DEI RONCHI;CAVENAGO DI BRIANZA;20873;MB;ITALIA;334 5637133;cjumpingteam@gmail.com;;;;;;;;;CLERICI;ALESSIA;;;04-05-2018;03-05-2019;2353/b4c
ASD CENTRO IPPICO SANTA MARIA;ASSOCIAZIONE;09864380960;VIALE  CASATA 2;MONZA;20900;MB;ITALIA;039366351;AMEDEOCAMPINI@GMAIL.COM;01.43;Allevamento di cavalli e altri equini;;;;;;;CAMPINI;AMEDEO GOTTARDO;amedeocampini@gmail.com;039366351;28-05-2018;27-06-2019;2934/b4c
ASD ROBUR RUGINELLO 1948;ASSOCIAZIONE;09986170968;VIA ANTONIO DIAZ 17;VIMERCATE;20871;MB;ITALIA;+393484400615;roburruginello@libero.it;;;;;;;;;MAURI;MATTEO;;;;;
ASD SILVIA TREMOLADA APS;ASSOCIAZIONE;91005820153;VIA RAMAZZOTTI 19;MONZA;20052;MI;ITALIA;3498328244;INFO@SILVIATREMOLADA.IT;93.19.99;Altre attività sportive nca;;;;;;;VIGONI;SILVIO;;;04-10-2021;04-10-2022;3384/U del 06/10/21
ASILO NIDO SCARABOCCHIO;AZIENDA;3553850961;VIA MONVISO 15;BRUGHERIO;20861;MB;ITALIA;;brugherio@insiemepercrescereasilinido.it;;;;;;;;;CICOGNANI;DANIELA;asilonidoscarabocchio@virgilio.it;;24-09-2018;;4636/B4C
ASSICURAZIONI CATTOLICA LISSONE;AZIENDA;05072190969;VIA MATTEOTTI,86 - LISSONE;LISSONE;20851;MB;ITALIA;039-2145327;lissonecentro@cattolica.it;66.22.01;Broker di assicurazioni;;;;;Servizi avanzati alle imprese;;COLOMBO GIULIANO;CARLO;;;;;
ASSICURAZIONI STUCCHI DI STUCCHI DAVIDE;LIBERO PROFESSIONISTA;06933690965;VIA SANTA MARTA 5;VIMERCATE;20871;MB;ITALIA;039-6080651;davide.stucchi@assicurazionistucchi.it;;;;;;;;;STUCCHI;DAVIDE;;;08-01-2019;07-01-2020;85/B.4.C.
ASSOCIAZIONE CULTURALE DELLE ALI;ASSOCIAZIONE;;PIAZZA MARCONI,7;VIMERCATE;20871;MB;ITALIA;0392912394;distribuzione@delleali.it;;;;;;;Altri servizi pubblici, sociali e personali;;CASSINOTTI;ANTONELLO;;;;;
ASSOCIAZIONE DI VOLONTARIATO GREEN HOUSE;ASSOCIAZIONE;03125550166;VIA DONIZETTI  N°31;USMATE VELATE;20865;MB;ITALIA;3339756555;info@greenhouseanimalienatura.it;;;11.31;;;;Volontariato;;PASSONI;CRISTIANA;igreenhouseanimalie natura@outlook.it;;;;
ASSOCIAZIONE ITALIANA DI CHIMICA TESSILE E COLORISTICA;ASSOCIAZIONE;09357520965;VIA ALBERTO RIVA, 3;VILLASANTA;20145;MI;ITALIA;;segreteria@aictc.org;94.99.90;Attività di altre organizzazioni associative nca;;;;;Chimico;;CAVESTRO;STEFANO;stefano.cavestro@aictc.org;3356322999;17-02-2018;16-02-2019;866/b4c
ASSOCIAZIONE LAVORO E INTEGRAZIONE ONLUS;ASSOCIAZIONE;56789012345;SPAZIO MIL - VIA GRANELLI, 1;SESTO SAN GIOVANNI;20099;MI;ITALIA;02-24124617;media@spaziomil.org;;;;;;;Altri servizi pubblici, sociali e personali;;PALVARINI;CLAUDIO;;;;;
ASSOCIAZIONE PREZIOSA;AZIENDA;;VIA PIO X;CONCOREZZO;20863;MB;ITALIA;3461746101;tommy@preziosa.it;;;;;;;;;PREZIOSA;TOMMASO;;;;;
ASSOCIAZIONE SALUTE DONNA ONLUS;ASSOCIAZIONE;97160150153;VIA VENEZIAN N. 1;MILANO;20133;MI;ITALIA;026470452;info@salutedonnaonlus.it;;;;;;;Altri servizi pubblici, sociali e personali;;MANCUSO;ANNAMARIA;;;13-10-2021;13-10-2022;3640/U del 18/10/21
ASSOCIAZIONE SPORTIVA DILETTANTISTICA RUGBY MONZA 1949;AZIENDA;02626350967;VIA ISEO 1;MONZA;20900;MB;ITALIA;;segreteria@rugbymonza.com;;;;;;;;;CICUTTO;GIULIO CESARE;;;24-06-2021;24-06-2022;2285
ASSOCIAZIONE TERRITORIALE UNSIC DI BRUGHERIO MB/16;AZIENDA;10378240963;VIA DELLA VITTORIA 40;BRUGHERIO;20861;MB;ITALIA;0392848376;cafunsicmonzabrianza@gmail.com ;94.11.00;Attività di organizzazione di datori di lavoro, federazioni di industria, commercio, artigianato e servizi, associazioni, unioni, federazioni fra istituzioni;;;;;;;CAVALLARO;GIUSEPPE;g.cavallaro@unsic.it;;10-06-2021;10-06-2022;2070/U
ASSOLOMBARDA CONFINDUSTRIA MILANO MONZA E BRIANZA;ASSOCIAZIONE;80040750152;VIA PANTANO,9;MILANO;20100;MI;ITALIA;;Barbara.tiramani@assolombarda.it;;;;;;;Servizi avanzati alle imprese;;ROCCA;GIANFELICE;;;;;
ASSOLOMBARDA CONFINDUSTRIA MILANO MONZA E BRIANZA;ASSOCIAZIONE;80040750152;VIA PANTANO,9;MILANO;20100;MI;ITALIA;;Barbara.tiramani@assolombarda.it;;;;;;;Servizi avanzati alle imprese;;ROCCA;GIANFELICE;;;;;
ASSOLOMBARDA CONFINDUSTRIA MILANO MONZA E BRIANZA;ASSOCIAZIONE;80040750152;VIA PANTANO,9;MILANO;20100;MI;ITALIA;;Barbara.tiramani@assolombarda.it;;;;;;;Servizi avanzati alle imprese;;ROCCA;GIANFELICE;;;;;
ASSOLOMBARDA CONFINDUSTRIA MILANO MONZA E BRIANZA;ASSOCIAZIONE;80040750152;VIA PANTANO,9;MILANO;20100;MI;ITALIA;;Barbara.tiramani@assolombarda.it;;;;;;;Servizi avanzati alle imprese;;ROCCA;GIANFELICE;;;;;
ASSOLOMBARDA CONFINDUSTRIA MILANO MONZA E BRIANZA;ASSOCIAZIONE;80040750152;VIA PANTANO,9;MILANO;20100;MI;ITALIA;;Barbara.tiramani@assolombarda.it;;;;;;;Servizi avanzati alle imprese;;ROCCA;GIANFELICE;;;;;
ATELIER PROART;ASSOCIAZIONE;94604860158;VIA PAPA GIOVANNI 27;BRUGHERIO;20861;MB;ITALIA;3391240185;atelierproart@yahoo.it;85.52.09;Altra formazione culturale;;;;;;;SANTORO;ROBERTO;atelierproart@yahoo.it;3391240185;10-04-2019;10-04-2020;3042/b4c
AUTOSCUOLA FRANCO SNC;AZIENDA;00879550960;VIA ZARA 1;VIMERCATE;20871;MB;ITALIA;039482661;autoscuolafranco@hotmail.com;;;;;;;;;BERNAREGGI;DARIO;;039669751;25-05-2018;24-05-2019;2838/b4c
AUTOSCUOLA FRANCO SNC;AZIENDA;00879550960;VIA ZARA 1;VIMERCATE;20871;MB;ITALIA;039482661;autoscuolafranco@hotmail.com;;;;;;;;;BERNAREGGI;DARIO;;039669751;25-05-2018;24-05-2019;2838/b4c
AUTOSPED S.R.L.;AZIENDA;IT05954070156;VIA AUTOSOLE, 1;CERRO AL LAMBRO;20070;MI;ITALIA;02 61290121;stefano.pastore@autosped.com;49.41;Trasporto di merci su strada;;;;;;;RESCHIGLIAN;LORI MARIA;;;21-05-2018;20-05-2019;2675/b4c
AV&CO SRL - COMMONGOODS;AZIENDA;08422430960;VIA LORENZO GHILBERTI, 29;MILANO;20100;MI;ITALIA;3357557333;antonella.vitale@commongoods.it;70.22.09;Altre attività di consulenza imprenditoriale e altra consulenza amministrativo-gestionale e pianificazione aziendale;;;;;Servizi avanzati alle imprese;;VITALE;ANTONELLA;;;08-02-2019;08-02-2020;1042/b1c
AVV. ASSOCIATI CADORIN MAURI SILVESTRI;LIBERO PROFESSIONISTA;CDRSFN69B17F205V;VIA ITALIA 39;MONZA;20900;MB;ITALIA;039.2303835;cadorin@associati.it;;;;;;;Servizi avanzati alle imprese;;CADORIN;STEFANO;cadorin@aassociati.it;;27-04-2018;26-04-2019;2304/b4c
AVV. CARLO TRANCOSSI;AZIENDA;TRNCRL77122F704I;VIA CARLO ROTA,14;MONZA;20900;MB;ITALIA;039.2060652;;;;;;;;Servizi avanzati alle imprese;;;;;;;;
AVV. GIOVANNA FICOCELLI;LIBERO PROFESSIONISTA;12581700155;VIA EMILIO MOROSINI 22;MILANO;20100;MI;ITALIA;;;;;;;;;;;FICOCELLI;GIOVANNA;giovanna.ficocelli@studiolegaleficocelli.com;;;;
AVV. GRETA MARCHESI;AZIENDA;MRCGTM79D44F704T;VIA CARLO ROTA,14;MONZA;20900;MB;ITALIA;;;;;;;;;Servizi avanzati alle imprese;;;;;;;;
AVV. PAOLO FACINELLI;LIBERO PROFESSIONISTA;12011060154;PIAZZA GIOVANNI AMENDOLA N. 3;MILANO;20149;MI;ITALIA;0289421834;p.facinelli@fmvavvocati.it;;;;;;;;;FACINELLI;PAOLO;;;;;
