partita_iva;ragione_sociale;tutor_referente_azienda;sede_comune;sede_provincia;telefono;email;settore
04251430965;ALEXY SAS;;MONZA;MB;0392140075;silvia.pagano@tempocasa.com;Servizi avanzati alle imprese
09606700962;ALIPRANDI COLOMBO GALANTE;;MONZA;MB;039 8963624;STUDIO@ACNETSOLUTIONS.COM;
08207850960;ALMA BIRRIFICIO SRL;;MONZA;MB;334 2564537;davide@almabirrificio.it;Industrie alimentari/bevande/tabacco
09918420150;ALTAG SRL;;CAMBIAGO;MI;0295349225;segreteria@altag.it;Contabilità
02115900967;AMBULATORIO VETERINARIO;;BURAGO DI MOLGORA;MB;0396082933;marta.bragotto@gmail.com;
0463970962;AMBULATORIO VETERINARIO DOTT.PARMA RICCARDO;;BRUGHERIO;MB;039 879352;info@clinvetmonza.it;
00790890966;AMT SRL;;Monza;MI;02-92105330;amt@amtsrl.it;Commercio
07551210961;ANCYLLA;;CONCOREZZO;MB;0399190717;info@ancylla.it;Servizi avanzati alle imprese
2709790980;ANIMATION TOURISM SERVICE;;VIMERCATE;MB;396854449;animazione@animationtourism.com;Agenzia Viaggi
03674480136;ANTONIO PENNATI SOCIETA' AGRICOLA;;MONTICELLO BRIANZA;LC;3470137491;info@antoniopennati.it;Agricoltura/silvicoltura
09265300153;APA SERVIZI SRL;;MILANO;MI;0362342186;b.minotti@apaconfartigianato.it;Servizi avanzati alle imprese
2870220965;ARCH. ADRIANO MARCO BERTOLDI;;MUGGIO';MI;39386566;adriano@studioarchitetturabertoldi.it;
It00037900966;ARCH. GIORGIO FEDERICO BRAMBILLA;;AGRATE BRIANZA;MB;39654109; giorgiofedericobrambilla@gmail.com ;
012340123450;ARCH. ILARIA MEANI;;ARCORE;MB;039-617231 ;ilaria.meani@meanire.it;
9330350969;ARCH. LUCA MARTINI;;AGRATE BRIANZA;MB;;luca@martiniassociati.com;
5146640965;ARCH. MARCO ERBA;;MUGGIO';MB;; gaia@marcoerba.com;
5566440961;ARCHILABO;;MONZA;MB;039/2027793;info@archilaboratorio.it;
01132230119;ARIANNA2002;;LA SPEZIA;SP;0187/751563;giovanni@arianna2002.it;Agenzia Viaggi
05075300961;AROSOFT S.R.L;;LISSONE;MB;;info@arosoft.it;
9354600968;ARTE CASA DESIGN SRL;;MONZA;MB;335459694;info@artecasadesign.com;
801140153;ASCO NUMATICS SIRAI SRL;;BUSSERO;MI;;sirai.web@emerson.com;
94059920150;ASD C JUMPING TEAM;;CAVENAGO DI BRIANZA;MB;334 5637133;cjumpingteam@gmail.com;
09864380960;ASD CENTRO IPPICO SANTA MARIA;;MONZA;MB;039366351;AMEDEOCAMPINI@GMAIL.COM;
09986170968;ASD ROBUR RUGINELLO 1948;;VIMERCATE;MB;+393484400615;roburruginello@libero.it;
91005820153;ASD SILVIA TREMOLADA APS;;MONZA;MI;3498328244;INFO@SILVIATREMOLADA.IT;
3553850961;ASILO NIDO SCARABOCCHIO;;BRUGHERIO;MB;;brugherio@insiemepercrescereasilinido.it;
05072190969;ASSICURAZIONI CATTOLICA LISSONE;;LISSONE;MB;039-2145327;lissonecentro@cattolica.it;Servizi avanzati alle imprese
06933690965;ASSICURAZIONI STUCCHI DI STUCCHI DAVIDE;;VIMERCATE;MB;039-6080651;davide.stucchi@assicurazionistucchi.it;
;ASSOCIAZIONE CULTURALE DELLE ALI;;VIMERCATE;MB;0392912394;distribuzione@delleali.it;Altri servizi pubblici, sociali e personali
03125550166;ASSOCIAZIONE DI VOLONTARIATO GREEN HOUSE;;USMATE VELATE;MB;3339756555;info@greenhouseanimalienatura.it;Volontariato
09357520965;ASSOCIAZIONE ITALIANA DI CHIMICA TESSILE E COLORISTICA;;VILLASANTA;MI;;segreteria@aictc.org;Chimico
56789012345;ASSOCIAZIONE LAVORO E INTEGRAZIONE ONLUS;;SESTO SAN GIOVANNI;MI;02-24124617;media@spaziomil.org;Altri servizi pubblici, sociali e personali
97160150153;ASSOCIAZIONE SALUTE DONNA ONLUS;;MILANO;MI;026470452;info@salutedonnaonlus.it;Altri servizi pubblici, sociali e personali
02626350967;ASSOCIAZIONE SPORTIVA DILETTANTISTICA RUGBY MONZA 1949;;MONZA;MB;;segreteria@rugbymonza.com;
10378240963;ASSOCIAZIONE TERRITORIALE UNSIC DI BRUGHERIO MB/16;;BRUGHERIO;MB;0392848376;cafunsicmonzabrianza@gmail.com ;
80040750152;ASSOLOMBARDA CONFINDUSTRIA MILANO MONZA E BRIANZA;;MILANO;MI;;Barbara.tiramani@assolombarda.it;Servizi avanzati alle imprese
94604860158;ATELIER PROART;;BRUGHERIO;MB;3391240185;atelierproart@yahoo.it;
00879550960;AUTOSCUOLA FRANCO SNC;;VIMERCATE;MB;039482661;autoscuolafranco@hotmail.com;
It05954070156;AUTOSPED S.R.L.;;CERRO AL LAMBRO;MI;02 61290121;stefano.pastore@autosped.com;
08422430960;AV&CO SRL - COMMONGOODS;;MILANO;MI;3357557333;antonella.vitale@commongoods.it;Servizi avanzati alle imprese
Cdrsfn69b17f205v;AVV. ASSOCIATI CADORIN MAURI SILVESTRI;;MONZA;MB;039.2303835;cadorin@associati.it;Servizi avanzati alle imprese
Trncrl77122f704i;AVV. CARLO TRANCOSSI;;MONZA;MB;039.2060652;;Servizi avanzati alle imprese
12581700155;AVV. GIOVANNA FICOCELLI;;MILANO;MI;;;
Mrcgtm79d44f704t;AVV. GRETA MARCHESI;;MONZA;MB;;;Servizi avanzati alle imprese
12011060154;AVV. PAOLO FACINELLI;;MILANO;MI;0289421834;p.facinelli@fmvavvocati.it;
09740340964;AVV. PASQUALE SCALAMBRINO;;MONZA;MB;;;Legale/Notarile
Nnzrlb73h70i690a;AVV. ROSA ALBA NUNZIATA;;MONZA;MB;039361402;INFO@STUDIOLEGALENUNZIATA.IT;Legale/Notarile
9460030969;AVV. ZANINETTI CHRISTIAN;;MONZA;MB;; christian.zaninetti@gmail.com;
07881570969;AXALTA COATING SYSTEMS ITALY SRL;;CAVENAGO DI BRIANZA;MB;02 9542 4560;ROBERTO.VERTEMATI@AXALTA.COM;Contabilità
00743500969;AZ. AGICOLA REDAELLI MASSIMO E ROBERTO;;LESMO;MB;3471482651 3356645448;aziendaredaelli@libero.it;Agricoltura/silvicoltura
03110850132;AZ. AGRICOLA "CASCINA RAMPINA" DI MAURI FABRIZIO;;MONTICELLO BRIANZA;LC;3898342936;gnam@cascinarampina.it;Agricoltura/silvicoltura
00780320131;AZ. AGRICOLA "FATTORIA LAGHETTO" DI CASATI MARCO;;MERATE;LC;3351724065   3381078057;FATTR66@fattorialaghetto.191.it;Agricoltura/silvicoltura
00946710969;AZ. AGRICOLA "LA SERRA" F.LLI RADAELLI;;Vedano al Lambro;MB;0392494266;laserra_radaelli@tiscali.it;Agricoltura/silvicoltura
02905050361;AZ. AGRICOLA ACETAIA ROSSI BARATTINI PAOLO;;MODENA;MO;335/8425571;info@balsamicodop.it;Industrie alimentari/bevande/tabacco
02124590163;AZ. AGRICOLA AGRITURISMO "FERDY" DI QUARTERONI FERDINANDO;;LENNA;BG;034582235;info@agriturismoferdy.com;Agricoltura/silvicoltura
3059710966;AZ. AGRICOLA E AGRITURISMO LA CAMILLA;;MONZA;MB;039647289;virginia@lacamilla.it;Alberghi e ristoranti
09078470961;AZ. AGRICOLA E AGRITURISMO VERDE PIÙ;;MUGGIO';MB;3383866521;cascinatalloni.nadia@gmail.com;Agricoltura/silvicoltura
05277830963;AZ. AGRICOLA FORTUNA;;VIMERCATE;MB;0396080619        3466194746;luciacima@tecnogardenservice.com;Agricoltura/silvicoltura
02432850135;AZ. AGRICOLA GAETANO BESANA;;SIRTORI;LC;39570351;;Agricoltura/silvicoltura
00903170967;AZ. AGRICOLA GILARDELLI MARIO S.S. DI MARCO E ROSSANA GILARDELLI;;AGRATE BRIANZA;MB;039.652450;az.agr.gilardelli@gmail.com;Agricoltura/silvicoltura
00989500145;AZ. AGRICOLA LONDONI FRANCESCO;;TEGLIO;SO;;londoniivo@gmail.com;
04679170151;AZ. AGRICOLA MANTEGAZZA CESARE;;CAMBIAGO;MI;3452950318;claudiamantegazza@hotmail.it;Agricoltura/silvicoltura
02640900961;AZ. AGRICOLA MAZZIERI MAURO;;CONCOREZZO;MB;0396049160;mazzierigarden@tiscali.it;Agricoltura/silvicoltura
0923043096;AZ. AGRICOLA SAN GIUDA;;MILANO;MI;375 6165737;info@fattoriasangiuda.com;Agricoltura/silvicoltura
00827630963;AZ. AGRICOLA VALANDRO;;TRIUGGIO;MB;3394471292;harlembi11@gmail.com;Agricoltura/silvicoltura
00658470968;AZ. AGRICOLA VERTEMARA;;USMATE VELATE;MB;3924340730;verte.andrea@hotmail.it;Agricoltura/silvicoltura
06058160968;AZ. AGRICOLA VILLA LICIA;;BERNAREGGIO;MB;338 8708435; info@agricolavillalicia.com;Agricoltura/silvicoltura
0226429013;AZ. AGRICOLA VITIVINICOLA "LA COSTA" DI CRIPPA CLAUDIA;;LA VALLETTA BRIANZA;LC;0395312218;info@la-costa.it;Agricoltura/silvicoltura
01528600131;AZ. AGRICOLA, AGRITURISMO FATTORIA PRATOBUSCANTE DI INVERNIZZI GIUSEPPE PAOLO;;BARZIO;LC;0341 998469;agriturismo.pratobuscante@gmail.com;Allevamento
02825910967;AZIENDA FLOROVIVAISTICA FAVARATO MARCO;;MUGGIO';MB;3355448245;;Agricoltura/silvicoltura
02734330968;AZIENDA SANITARIA LOCALE (MONZA E BRIANZA);;MONZA;MB;; info@aslmb.it;Altri servizi pubblici, sociali e personali
09317130152;AZIENDA SOCIO SANITARIA TERRITORIALE MONZA - ASST MONZA;;MONZA;MB;039-2339054;m.pina@asst-monza.it ;Sanità e altri servizi sociali
07245680967;AZIENDA SPECIALE DI FORMAZIONE "SCUOLA PAOLO BORSA";;MONZA;MB;0392315148 ;promozione@teatromanzonimonza.it;
07184960966;B & V HOLDING;;USMATE VELATE;MB;;stefano.pensa@brivioevigano.it;Trasporti e attività postali
11145000961;B2B TRAVEL SRL;;MONZA;MB;0399639748;B2BTRAVELSRL@GMAIL.COM;Agenzia Viaggi
9415290965;BABY BIRBA;;MONZA;MB;3663831881;babybirba.monza@gmail.com;
01149870543;BADIACCIA.S.A.S;;CASTIGLIONE DEL LAGO;PG;0759659097;info@badiaccia.com;
9830120961;BANJO SWING;;CORNATE D'ADDA;MB;396956910;valentina@banjoswing.it;Agenzia Viaggi
00708550967 ;BCC DI CARATE BRIANZA;;MONZA;MB;039-6188428;;Intermediazione monetaria
12564910151;BEAR SPA;;MILANO;MI;02324141;hotel.berlino@yahoo.it;Alberghi e ristoranti
01305250621;BELLINI DOTT. FIORENZO;;BESANA IN BRIANZA;MB;0362 924826;f.bellini@studiobellini-nardella.it;
95150570166;BERGAMOSCIENZA;;BERGAMO;BG;035215992;INFO@BERGAMOSCIENZA.IT;Promozione e sviluppo tecnico-scientifico
04097400966;BEST VISION ITALIA S.R.L.;;MILANO;MI;;m.magni@bestvision.it;Informatica e telecomunicazioni
02697810352;BIAGINI F.LLI SRL;;CASTELNOVO NE' MONTI;RE;;;
Clmrlb58b56a376w;BIBLIOTECA CIVICA "NANNI VALENTINI" DI  ARCORE;;Arcore (MB);MB;039-6017333;alessandra.bini@comune.arcore.mb.it;
0745520965;BIBLIOTECA DI BRUGHERIO;;BRUGHERIO;MB;;A.sangalli@comune.brugherio.mb.it;Altri servizi pubblici, sociali e personali
04497730962;BIFFI COMPUTER DI BIFFI MARCO;;CONCOREZZO;MB;0392913578;amministrazione@bifficomputer.it;Informatica e telecomunicazioni
02283630180;BIRRIFICIO RURALE SRL;;DESIO;MB;3454616684;amministrazione@birrificiorurale.it;Industrie alimentari/bevande/tabacco
2925770964;BLACK SUN VIAGGI;;MONZA;MB;392141439;info@blacksunviaggi.it;
3993950967;BLU VACANZE SPA;;MILANO;MI;;;Agenzia Viaggi
05306230656;BLUE BUXENTUM TRAVEL;;policastro bussentino;SA;09741848548;INFO@BLUEBUXENTUMTRAVEL.IT;
06311200965;BLUWATER SPA;;MILANO;MI;;ufficiopersonale@bluwaterspa.it;Tour Operator
07847150963;BONALUMI SRL UNIPERS.;;BRUGHERIO;MB;039879685;info@bonalumisrl.it;
03230850137;BORGO ANTICO SRL;;COMO;CO;031 3380150  -3484046994;info@borgoanticohotelcomo.it;Alberghi e ristoranti
Bscgnn59p48z613c;BOSCHIERO GIOVANNA;;BERNAREGGIO;MB;0396800113;giovanna.boschiero@gmail.com;
00844760157;BOUTY S.P.A.;;MILANO;MI;02 262891;bouty@bouty.it;
07785990156;BRACCO IMAGING S.P.A.;;MILANO;MI;;andrea.provini@bracco.com;Farmaceutico
02605500962;BRAMBILLA PIER GIUSEPPE;;SULBIATE;MB;335 6246548;info@ediliziabrambilla.it;Costruzioni
06112100968;BREVINI FLUID POWER DISTRIBUTION;;REGGIO EMILIA;RE;;;Produzione macchine/apparecchi meccanici
05006880966;BRI-GE BRIANZA GESTIONI SRL;;MONZA;MB;03960441;pasquale.paglietta@eurohotelresidence.it;Alberghi e ristoranti
3988240960;BRIANZA ACQUE SRL;;MONZA;MB;039/262301;claudia.passoni@brianzacque.it;Energia elettrica/gas/acqua
06168970967;BRIANZA CASE DI BONAVITA MARCO;;VILLASANTA;MB;0395972430;;
94570490154;BRIANZA SOLIDALE;;Monza;MB;039 20 25 334 338-2262956;brianzasolidale@libero.it;Volontariato
11144670962;BRIC DI TROVATO ANNA SARA;;CIVO;SO;3456584811;annasaratrovato@hotmail.it;
02388590966;BRIGUGLIO ROBERTA;;CORNATE D'ADDA;MB;0396820193;studiobriguglio@studiobriguglio.it;Contabilità
04867640965;BRIVIO E VIGANÒ LOGISTIC SRL;;BERGAMO;BG; 039 9061;info@brivioevigano.it;
02541810962;BRUEL S.R.L;;BRUGHERIO;MB;039.2873043;info@bruelmotion.com;Servizi avanzati alle imprese
5454545454;BUENOS AIRES SRL;;MILANO;MI;02 29521344;puccini@ih-hotels.com ;
02347400968;BURATI MAURIZIO;;BRUGHERIO;MB;039/2873832;info@ristorantesportingbrugherio.it;Alberghi e ristoranti
94506980153;C.E.R. MONZA ONLUS;;MONZA;MB;335 - 5380367;gpiermattei@teletu.it;Servizi alla persona e alla comunità
02256730968;C.S.A TENNIS AGRATE AD;;AGRATE BRIANZA;MB;;csatennisagrate@libero.it;
01472620119;CALEVO SRL;;MILANO;MI;0187988010;info@calevo.it;
01171240383;CAMPING FLORENZ SNC;;COMACCHIO;FE;0533 380193;info@holidayvillageflorenz.com;Alberghi e ristoranti
2711030409;CARDUCCI 76 SAS DI FERRETTI MASSIMO & CO;;CATTOLICA;RN;;direzione@carducci76.it;Alberghi e ristoranti
02749690968;CAREMOLI SPA;;MONZA;MONZA BRIANZA;0362364567;INFO@CAREMOLI.IT;
08995520965;CARUSO E ANDREATINI NOTAI ASSOCIATI;;MILANO;MI;0287072900;claudio.caruso@notaiocaruso.it;
03711470132;CASEIFICIO CATTANEO SRL;;LOMAGNA;LC;0395300353;info@caseificiocattaneo.it;Industrie alimentari/bevande/tabacco
00876390964;CASEIFICIO SALARIS SNC;;BRUGHERIO;MB;0398707754; marco.salaris@caseificiosalaris.it;Industrie alimentari/bevande/tabacco
02643150168;CASTEL;;PESSANO CON BORNAGO;MI;02957021;WCagnoni@Castel.it;Elettromeccanico
02635130962;CATTOLICA SOCIETÀ DI ASSICURAZIONE;;VILLASANTA;MB;335-7068644;villasanta@cattolica.it;Servizi avanzati alle imprese
5519130966;CAZZANIGA COSTRUZIONI CIVILI ED INDUSTRIALI SRL;;Besana Brianza;;0362.942270;;
8009660963;CC CED & SERVIZI S.R.L.;;BRUGHERIO;MB;0399181106;studiogiuseppecalabretta@gmail.com;
02358220966;CD DATACOM SRL;;BELLUSCO;MB;039 622051;r.paradiso@compeldis.com;Trasporti e attività postali
65771710968;CDI STEFANIA INVERNIZZI SOC. COOP.;;MUGGIO';MB;; info@cdistefaniainvernizzi.it;
00730420965;CEE ITALIANA;;CONCOREZZO;MB;;luca.bellotti@ceeitaliana.com;Elettronico/Automazione
02529410967;CENTRO CINOFILO BAUHOUSE DI PETRUCCI PAOLO;;MONZA;MB;;info@bauhouse.net;Agricoltura/silvicoltura
00892340969;CENTRO COORDINAZIONE CONSULENZE AZIENDALI SRL;;AGRATE BRIANZA;MB;039653751;valentina.brazzioli@studioluerti.it;
10176300159;CENTRO GIARDINAGGIO S. FRUTTUOSO A.A. SRL;;MONZA;MB;039742102;bramati@giardinaggiosanfruttuoso.it;Agricoltura/silvicoltura
012581700155;CENTRO POLISPECIALISTICO PACINI SRL;;MILANO;MI;;info@polispecialisticopacini.it;
03008540134;CENTRO SERVIZI VETERINARI VALCURONE;;MISSAGLIA;LC;399279338;INFO@CLINICAVETERINARIAVALCURONE.IT;Veterinario
011985320156;CESER S.R.L.;;MILANO;MI;0266998201;p.mastrolembo@ceser.it;
005283250966;CFH MILAN HOLDCO SRL;;MILANO;MI;;;
94502930152;CGIL MONZA E BRIANZA;;MONZA;MB;039-27311;cdltbrianza@cgil.lombardia.it;Altri servizi pubblici, sociali e personali
02156660132;CIBRA NOVA SNC;;CERNUSCO SUL NAVIGLIO;MI;02-92104927;lea@cibra.it;Produzione macchine/apparecchi meccanici
03251300129;CIDIMM SRL-STUDIO TECNICO INGEGNERIA;;MONZA;MB;039914077;AMMINISTRAZIONE@CIDIMM.IT;Studio tecnico
57190362436;CIGA GESTION S.R.L;;MILANO;MI;26336906;mara.falcier@sheraton.com;Alberghi e ristoranti
012879290158;CIGA GESTIONI SRL;;MILANO;MI;;;
94638180151;CIRCOLO MCL MONZA;;MONZA;MB;0398969293;MONZA@CENTROSERVIZIGROUP.COM;
00356478765;CISALPINA TOURS SPA (BRUGHERIO);;BRUGHERIO;MB;392871687;brugherio.manin@vivereeviaggiare.it;
00222456781;CISALPINA TOURS SPA (CONCOREZZO);;CONCOREZZO;MB;396908169;concorezzo@vivereeviaggiare.it;
00987654332;CISALPINA TOURS SPA (MILANO);;MILANO;MI;02234534077;milano.sarpi@vivereeviaggiare.it;
00637950015;CISALPINA TOURS SPA-VIVERE&VIAGGIARE;;SERIATE;BG;035-4520335;villanuovasulclisi@vivereeviaggiare.it;Agenzia Viaggi
000000858770159;CIT S.P.A. - BAGUTTA;;ARCORE;MB;3339519886;salettigiulia@gmail.com;Industrie tessili e dell'abbigliamento
03831140409;CITY HOTELS COMPANY CINISELLO SRL (HOLIDAY INN MILANO NORD);;CINISELLO BALSAMO;MI;02 61291728;ricevimento@hizara.it;Alberghi e ristoranti
09879808984;CIVIS ONLUS;;MILANO;MI;02 89096061 ;antonella.vitale@commongoods.it;
02645580784;CLINICA DENTALE DR. DATTOLA FRANCESCO;;DESIO;MB;;;
06873070962;CLINICA VETERINARIA BRIANZAVET;;CAPONAGO;MB;02/95746128;info@brianzavet.it;
08809380960;CLINICA VETERINARIA CITTÀ DI MONZA;;MONZA;MB;;amministrazione@clinvetmonza.it;Veterinario
07690880963;CLINICA VETERINARIA GALAPAGOS;;AGRATE BRIANZA;MB;0396210185;clinicaveterinariagalapagos@gmail.com;Veterinario
1928370061;CLINICA VETERINARIA MONFERRATO;;ALESSANDRIA;AL;;;
03970260968;CLINICA VETERINARIA PARCO DI MONZA;;VILLASANTA;MB;;;
03793470166;CLINICA VETERINARIA SAN LORENZO;;SUISIO;BG;0354948656;info@clinicaveterinariasanlorenzo.it;Veterinario
08597590960;CLINICA VETERINARIA SAN MAURIZIO;;COLOGNO MONZESE;MI;02 2730 7870;info@clinicaveterinariasanmaurizio.it;Veterinario
00984100966;CLOCK TRAVEL SRL;;VIMERCATE;MB;0396081376;soniamerlotti@clocktravel.it;Agenzia Viaggi
0154410369;CMB SOC. COOP;;MILANO;MI;;simone.motta@cmbcarpi.it;
09760300153;CMT SRL;;MILANO;MI;024390383;cmt@cmtcongressi.it;
02118311006;CNR- Consiglio Nazionale delle Ricerche;;MILANO;MI;0266173236;;Ricerca scientifica
08625070969;CNS GARDEN SRLS;;VILLASANTA;MB;3442745436;cnsgarden@libero.it ;Agricoltura/silvicoltura
10187740153;CO.A.FRA. SOCIETA' AGRICOLA COOPERATIVA SOCIALE;;CERNUSCO SUL NAVIGLIO;MI;02/9249433;agricola@nibai.it;Agricoltura/silvicoltura
94606270158;COLLEGIO DEI GEOMETRI;;MONZA;MB;;;Altri servizi pubblici, sociali e personali
It01903390035;COLMAS S.R.L.;;SAN PIETRO MOSEZZO;NO;0321033316;info@colmas.net;
02153240961;COLOMBO E C SRL;;LISSONE;MB;039465204;info@stcolombo.it;
02081850964;COMI IVANA ASSICURAZIONI;;ARCORE;MB;039616477;comi.assicurazioni@yahoo.it;Servizi avanzati alle imprese
97015930155;COMITATO MARIA LETIZIA VERGA;;MONZA;MB;039-2333526;amministrazione@comitatomarialetiziaverga.org;Sanità e altri servizi sociali
988560967;COMUNE DI ARCORE - BIBLIOTECA;;ARCORE;MB;039 60171 ;v.ragaini@cubinrete.it;
7338509600;COMUNE DI BIASSONO;;BIASSONO;MI;0392201031;personale@biassono.org;
00745520965;COMUNE DI BRUGHERIO;;BRUGHERIO;MB;392893217;s.agnes@comune.brugherio.mb.it;
00714490968;COMUNE DI CAVENAGO BRIANZA;;CAVENAGO DI BRIANZA;MB;029524141;protocollo@pec.comune.cavenagobrianza.mb.it;
01217430154;COMUNE DI CERNUSCO SUL NAVIGLIO;;CERNUSCO SUL NAVIGLIO;MI;029278371;personale@comune.cernuscosulnaviglio.mi.it;
00741200968;COMUNE DI CONCOREZZO;;CONCOREZZO;MB;39628001;personale@comune.concorezzo.mb.it;
00986460962;COMUNE DI CORREZZANA;;CORREZZANA;MB;0396065373; protocollo@comune.correzzana.mb.it;
748750965;COMUNE DI LESMO;;LESMO;MB;0396985599;mp.zimbaldi@comune.lesmo.mb.it;Pubblica Amministrazione
000000000008;COMUNE DI LESMO - NON USARE;;LESMO;MB;;m.mangano@comune.lesmo.mb.it;Pubblica Amministrazione
02030880153;COMUNE DI MONZA;;MONZA;MB; 039-2359043;tirocini@comune.monza.it;
07400570965;COMUNE DI MUGGIO;;MUGGIO';MI;;pubblica.istruzione@comune.muggio.mb.it;Pubblica Amministrazione
01703890150;COMUNE DI SEGRATE;;Segrate;;; ;
01482570155;COMUNE DI USMATE VELATE;;USMATE VELATE;MB;;;Pubblica Amministrazione
3245720150;COMUNE DI VILLASANTA;;VILLASANTA;MB;039/23754211;;
00728830969;COMUNE MONZA - SETTORE PROGETTAZIONE E MANUTENZIONI;;MONZA;MB;039/2359042-71;manalloggi@comune.monza.it;Pubblica Amministrazione
000000000090;COMUNE MONZA UFFICIO CATASTO;;MONZA;MB;0393900322;;
09265300133;CONFARTIGIANATO NOVA M.;;;;;l.sclafani@apconartigianato.it;Servizi avanzati alle imprese
00805590965;CONGEST S.A.S;;MONZA;MB;039-830741;longoni@congestsas.it;Servizi avanzati alle imprese
91099880154;CONSORZIO PARCO GRUGNOTORTO VILLORESI;;NOVA MILANESE;MB;0362374512;grugnotorto@comune.paderno-dugnano.mi.it;
02893130969;COOP LA COCCINELLA SCRL ONLUS;;CONCOREZZO;MB;;;
02800890960;COOPERATIVA SOCIALE META ONLUS;;Monza;MB;3476945272;metamonza@metacoop.org;
6618650961;CORDEN PHARMA S.P.A.;;CAPONAGO;MB;;;
94518970150;CREDA ONLUS;;MONZA;MB;039-9451248;luca.baglivo@creda.it;Altri servizi pubblici, sociali e personali
10171860967;CRISTINA GIANNICO;;MONZA;MB;;studiogiannicocristina@gmail.com;
084663309969;CROCE ROSSA ITALIANA COMITATO DI MONZA;;MONZA;MB;039204591;monza@cri.it;
5560610965;CRV DI CIRAVOLO GIUSEPPE;;MONZA;MB;;;
2774510966;CSV;;MONZA;MB;039-2848308;;
04423770231;D&D DESIGN AND DIGITAL S.R.L.;;BUSSOLENGO;VR;039 2285477;rds@designanddigital.it;Altre attività imprenditoriali
04977970153;DAIANA SAS;;MILANO;MI;039-2300116;claudia@daianaincentive.it;
00869670190;DALLEDONNE ANGELO;;PIEVE D'OLMI;CR;3298964756;laura.dalledonne1@gmail.com;
03888010133;DASY DI MAGGIONI DESIREE;;CERNUSCO LOMBARDONE;LC;3343863323;daisy.maggioni.agricola@gmail.com;Agricoltura/silvicoltura
02400000960;DATA SERVICE SAS;;PESSANO CON BORNAGO;MI;;stefanofanni@dataservicesas.it;Legale/Notarile
8594380969;DEA SPORT;;MONZA;MB;;;Commercio
00691860969;DELICATESSE SPA;;CONCOREZZO;MB;039.6040563;stefania.bianchi@delicatesse.it;Altre attività imprenditoriali
08506140964;DENTI ANDREA PABLO;;USMATE VELATE;MB;3474107302;ap.denti@libero.it;
