Ragione sociale;Partita iva o CF;Indirizzo;Comune;CAP;Provincia;Stato;Telefono;Email;Codice Ateco;Descrizione Ateco;Forma giuridica;Legale Cognome;Legale Nome;Referente;Referente Email;Data convenzione;Scadenza convenzione
ARCH. GIORGIO FEDERICO BRAMBILLA;IT00037900966;VIA DELLA CASCINETTA,16 (FRAZIONE OMATE);AGRATE BRIANZA;20864;MB;ITALIA;39654109; giorgiofedericobrambilla@gmail.com ;;;;BRAMBILLA;GIORGIO FEDERICO;;;21-05-2021;21-05-2022
ARCH. ILARIA MEANI;012340123450;VIA UMBERTO, 14;ARCORE;20862;MB;ITALIA;039-617231 ;ilaria.meani@meanire.it;;;;MEANI;ILARIA;;;;
ARCH. LUCA MARTINI;9330350969;VIA MADONNINA,14;AGRATE BRIANZA;20864;MB;ITALIA;;luca@martiniassociati.com;71.11;;;MARTINI;LUCA;;;;
ARCH. MARCO ERBA;5146640965;VIA D'ANNUNZIO, 4;MUGGIO';20835;MB;ITALIA;; gaia@marcoerba.com;;;;ERBA;MARCO;;;;
ARCHILABO;5566440961;VIA SAVONAROLA, 3;MONZA;20900;MB;ITALIA;039/2027793;info@archilaboratorio.it;74.20;Attività fotografiche;;POLLASTRI;MARCO ISIDORO;;;10-01-2018;10-01-2019
ARIANNA2002;01132230119;VIA NAPOLI;LA SPEZIA;19100;SP;ITALIA;0187/751563;giovanni@arianna2002.it;;;;PIETRINI;ARIANNA;;;16-04-2018;15-04-2019
AROSOFT S.R.L;05075300961;VIA C. COLOMBO,7 LISSONE;LISSONE;20851;MB;ITALIA;;info@arosoft.it;;;;AROSIO;MARCO;;;08-01-2018;07-01-2019
ARTE CASA DESIGN SRL;9354600968;VIALE EUROPA 11;MONZA;20900;MB;ITALIA;335459694;info@artecasadesign.com;;;;NOCITA;SALVATORE;NOCITA GIANFRANCO;;21-09-2018;
ASCO NUMATICS SIRAI SRL;801140153;STRADA PER CERNUSCO, 19;BUSSERO;20060;MI;ITALIA;;sirai.web@emerson.com;28.14.00;Fabbricazione di altri rubinetti e valvole;;COLOMBO;MARCO;;;;
ASD C JUMPING TEAM;94059920150;STRADA VICINALE DEI RONCHI;CAVENAGO DI BRIANZA;20873;MB;ITALIA;334 5637133;cjumpingteam@gmail.com;;;;CLERICI;ALESSIA;;;04-05-2018;03-05-2019
ASD CENTRO IPPICO SANTA MARIA;09864380960;VIALE  CASATA 2;MONZA;20900;MB;ITALIA;039366351;AMEDEOCAMPINI@GMAIL.COM;01.43;Allevamento di cavalli e altri equini;;CAMPINI;AMEDEO GOTTARDO;GIUSEPPE CAMMARATA;amedeocampini@gmail.com;28-05-2018;27-06-2019
ASD ROBUR RUGINELLO 1948;09986170968;VIA ANTONIO DIAZ 17;VIMERCATE;20871;MB;ITALIA;+393484400615;roburruginello@libero.it;;;;MAURI;MATTEO;;;;
ASD SILVIA TREMOLADA APS;91005820153;VIA RAMAZZOTTI 19;MONZA;20052;MI;ITALIA;3498328244;INFO@SILVIATREMOLADA.IT;93.19.99;Altre attività sportive nca;;VIGONI;SILVIO;;;04-10-2021;04-10-2022
ASILO NIDO SCARABOCCHIO;3553850961;VIA MONVISO 15;BRUGHERIO;20861;MB;ITALIA;;asilonidoscarabocchio@virgilio.it;;;;CICOGNANI;DANIELA;;;24-09-2018;
ASSICURAZIONI CATTOLICA LISSONE;05072190969;VIA MATTEOTTI,86 - LISSONE;LISSONE;20851;MB;ITALIA;039-2145327;lissonecentro@cattolica.it;66.22.01;Broker di assicurazioni;;COLOMBO GIULIANO;CARLO;;;;
ASSICURAZIONI STUCCHI DI STUCCHI DAVIDE;06933690965;VIA SANTA MARTA 5;VIMERCATE;20871;MB;ITALIA;039-6080651;davide.stucchi@assicurazionistucchi.it;;;;STUCCHI;DAVIDE;;;08-01-2019;07-01-2020
ASSOCIAZIONE CULTURALE DELLE ALI;;PIAZZA MARCONI,7;VIMERCATE;20871;MB;ITALIA;0392912394;distribuzione@delleali.it;;;;CASSINOTTI;ANTONELLO;;;;
ASSOCIAZIONE DI VOLONTARIATO GREEN HOUSE;03125550166;VIA DONIZETTI  N°31;USMATE VELATE;20865;MB;ITALIA;3339756555;info@greenhouseanimalienatura.it;;;;PASSONI;CRISTIANA;;;;
ASSOCIAZIONE ITALIANA DI CHIMICA TESSILE E COLORISTICA;09357520965;VIA ALBERTO RIVA, 3;VILLASANTA;20145;MI;ITALIA;;segreteria@aictc.org;94.99.90;Attività di altre organizzazioni associative nca;;CAVESTRO;STEFANO;;;17-02-2018;16-02-2019
ASSOCIAZIONE LAVORO E INTEGRAZIONE ONLUS;56789012345;SPAZIO MIL - VIA GRANELLI, 1;SESTO SAN GIOVANNI;20099;MI;ITALIA;02-24124617;media@spaziomil.org;;;;PALVARINI;CLAUDIO;;;;
ASSOCIAZIONE PREZIOSA;;VIA PIO X;CONCOREZZO;20863;MB;ITALIA;3461746101;tommy@preziosa.it;;;;PREZIOSA;TOMMASO;;;;
ASSOCIAZIONE PREZIOSA;;VIA PIO X;CONCOREZZO;20863;MB;ITALIA;3461746101;tommy@preziosa.it;;;;PREZIOSA;TOMMASO;;;;
ASSOCIAZIONE SALUTE DONNA ONLUS;97160150153;VIA VENEZIAN N. 1;MILANO;20133;MI;ITALIA;026470452;info@salutedonnaonlus.it;;;;MANCUSO;ANNAMARIA;;;13-10-2021;13-10-2022
ASSOCIAZIONE SPORTIVA DILETTANTISTICA RUGBY MONZA 1949;02626350967;VIA ISEO 1;MONZA;20900;MB;ITALIA;;segreteria@rugbymonza.com;;;;CICUTTO;GIULIO CESARE;;;24-06-2021;24-06-2022
ASSOCIAZIONE TERRITORIALE UNSIC DI BRUGHERIO MB/16;10378240963;VIA DELLA VITTORIA 40;BRUGHERIO;20861;MB;ITALIA;0392848376;cafunsicmonzabrianza@gmail.com ;94.11.00;Attività di organizzazione di datori di lavoro, federazioni di industria, commercio, artigianato e servizi, associazioni, unioni, federazioni fra istituzioni;;CAVALLARO;GIUSEPPE;;;10-06-2021;10-06-2022
ASSOLOMBARDA CONFINDUSTRIA MILANO MONZA E BRIANZA;80040750152;VIA PANTANO,9;MILANO;20100;MI;ITALIA;;Barbara.tiramani@assolombarda.it;;;;ROCCA;GIANFELICE;;;;
ATELIER PROART;94604860158;VIA PAPA GIOVANNI 27;BRUGHERIO;20861;MB;ITALIA;3391240185;atelierproart@yahoo.it;85.52.09;Altra formazione culturale;;SANTORO;ROBERTO;;;10-04-2019;10-04-2020
AUTOSCUOLA FRANCO SNC;00879550960;VIA ZARA 1;VIMERCATE;20871;MB;ITALIA;039482661;autoscuolafranco@hotmail.com;;;;BERNAREGGI;DARIO;;;25-05-2018;24-05-2019
AUTOSCUOLA FRANCO SNC;00879550960;VIA ZARA 1;VIMERCATE;20871;MB;ITALIA;039482661;autoscuolafranco@hotmail.com;;;;BERNAREGGI;DARIO;;;25-05-2018;24-05-2019
AUTOSPED S.R.L.;IT05954070156;VIA AUTOSOLE, 1;CERRO AL LAMBRO;20070;MI;ITALIA;02 61290121;stefano.pastore@autosped.com;49.41;Trasporto di merci su strada;;RESCHIGLIAN;LORI MARIA;;;21-05-2018;20-05-2019
AUTOSPED S.R.L.;IT05954070156;VIA AUTOSOLE, 1;CERRO AL LAMBRO;20070;MI;ITALIA;02 61290121;stefano.pastore@autosped.com;49.41;Trasporto di merci su strada;;RESCHIGLIAN;LORI MARIA;;;21-05-2018;20-05-2019
AV&CO SRL - COMMONGOODS;08422430960;VIA LORENZO GHILBERTI, 29;MILANO;20100;MI;ITALIA;3357557333;antonella.vitale@commongoods.it;70.22.09;Altre attività di consulenza imprenditoriale e altra consulenza amministrativo-gestionale e pianificazione aziendale;;VITALE;ANTONELLA;;;08-02-2019;08-02-2020
AVV. ASSOCIATI CADORIN MAURI SILVESTRI;CDRSFN69B17F205V;VIA ITALIA 39;MONZA;20900;MB;ITALIA;039.2303835;cadorin@associati.it;;;;CADORIN;STEFANO;;;27-04-2018;26-04-2019
AVV. CARLO TRANCOSSI;TRNCRL77122F704I;VIA CARLO ROTA,14;MONZA;20900;MB;ITALIA;039.2060652;;;;;;;;;;
AVV. GIOVANNA FICOCELLI;12581700155;VIA EMILIO MOROSINI 22;MILANO;20100;MI;ITALIA;;;;;;FICOCELLI;GIOVANNA;;;;
AVV. GRETA MARCHESI;MRCGTM79D44F704T;VIA CARLO ROTA,14;MONZA;20900;MB;ITALIA;;;;;;;;;;;
AVV. PAOLO FACINELLI;12011060154;PIAZZA GIOVANNI AMENDOLA N. 3;MILANO;20149;MI;ITALIA;0289421834;p.facinelli@fmvavvocati.it;;;;FACINELLI;PAOLO;FACINELLI PAOLO;p.facinelli@fmvavvocati.it;;
AVV. PASQUALE SCALAMBRINO;09740340964;VIA VITTORIO EMANUELE II, 26;MONZA;20900;MB;ITALIA;;;;;;SCALAMBRINO;PASQUALE;;;;
AVV. ROSA ALBA NUNZIATA;NNZRLB73H70I690A;VIA SAN GOTTARDO N. 91;MONZA;20900;MB;ITALIA;039361402;INFO@STUDIOLEGALENUNZIATA.IT;;;;NUNZIATA;ROSA ALBA;;;;
AVV. ZANINETTI CHRISTIAN;9460030969;VIA CANOVA ,28;MONZA;20900;MB;ITALIA;; christian.zaninetti@gmail.com;69.10.10;Attività degli studi legali;;ZANINETTI;CHRISTIAN;;;10-01-2018;10-01-2019
AXALTA COATING SYSTEMS ITALY SRL;07881570969;VIA ROMA 80;CAVENAGO DI BRIANZA;20873;MB;ITALIA;02 9542 4560;ROBERTO.VERTEMATI@AXALTA.COM;46.75.02;Commercio all'ingrosso di prodotti chimici per l'industria;;BRIOSCHI;MARCO STEFANO;;;03-12-2018;03-12-2019
AZ. AGICOLA REDAELLI MASSIMO E ROBERTO;00743500969;VIA CADUTI PER LA PATRIA 62;LESMO;20855;MB;ITALIA;3471482651 3356645448;aziendaredaelli@libero.it;01.5;COLTIVAZIONI AGRICOLE ASSOCIATE ALL'ALLEVAMENTO DI ANIMALI: ATTIVITÀ MISTA;;REDAELLI;MASSIMO;;;19-04-2021;20-04-2022
AZ. AGICOLA REDAELLI MASSIMO E ROBERTO;00743500969;VIA CADUTI PER LA PATRIA 62;LESMO;20855;MB;ITALIA;3471482651 3356645448;aziendaredaelli@libero.it;01.5;COLTIVAZIONI AGRICOLE ASSOCIATE ALL'ALLEVAMENTO DI ANIMALI: ATTIVITÀ MISTA;;REDAELLI;MASSIMO;;;19-04-2021;20-04-2022
AZ. AGR. PORRINETTI S.S.A;03120370139;FRAZIONE PORRINETTI 3/B;CASATENOVO;23880;LC;ITALIA;3331429758;ufficio@agricolaporrinetti.it;01.5;COLTIVAZIONI AGRICOLE ASSOCIATE ALL'ALLEVAMENTO DI ANIMALI: ATTIVITÀ MISTA;;CASATI;FRANCESCO;;;09-05-2022;09-05-2023
"AZ. AGRICOLA ""CASCINA RAMPINA"" DI MAURI FABRIZIO";03110850132;VIA DONATELLO 5;MONTICELLO BRIANZA;23876;LC;ITALIA;3898342936;gnam@cascinarampina.it;01.5;COLTIVAZIONI AGRICOLE ASSOCIATE ALL'ALLEVAMENTO DI ANIMALI: ATTIVITÀ MISTA;;MAURI;FABRIZIO;;;;
"AZ. AGRICOLA ""FATTORIA LAGHETTO"" DI CASATI MARCO";00780320131;VIA LAGHETTO N°2;MERATE;23807;LC;ITALIA;3351724065   3381078057;FATTR66@fattorialaghetto.191.it;01.4;ALLEVAMENTO DI ANIMALI;;CASATI;MARCO;;;;
"AZ. AGRICOLA ""FATTORIA LAGHETTO"" DI CASATI MARCO";00780320131;VIA LAGHETTO N°2;MERATE;23807;LC;ITALIA;3351724065   3381078057;FATTR66@fattorialaghetto.191.it;01.4;ALLEVAMENTO DI ANIMALI;;CASATI;MARCO;;;;
"AZ. AGRICOLA ""LA SERRA"" F.LLI RADAELLI";00946710969;VIA RIMEMBRANZE 45;Vedano al Lambro;20854;MB;ITALIA;0392494266;laserra_radaelli@tiscali.it;01.13;Coltivazione di ortaggi e meloni, radici e tuberi;SNC;RADAELLI;ELISABETTA;;;;
AZ. AGRICOLA ACETAIA ROSSI BARATTINI PAOLO;02905050361;VIA O. VECCHI 39;MODENA;41124;MO;ITALIA;335/8425571;info@balsamicodop.it;11.04;Produzione di altre bevande fermentate non distillate;;ROSSI BARATTINI;PAOLO;;;06-06-2018;05-06-2019
"AZ. AGRICOLA AGRITURISMO ""FERDY"" DI QUARTERONI FERDINANDO";02124590163;LOCALITÀ FIENILI SNC;LENNA;24010;BG;ITALIA;034582235;info@agriturismoferdy.com;01.5;COLTIVAZIONI AGRICOLE ASSOCIATE ALL'ALLEVAMENTO DI ANIMALI: ATTIVITÀ MISTA;;QUARTERIONI;FERDINANDO;;;22-03-2021;22-03-2022
"AZ. AGRICOLA AGRITURISMO ""FERDY"" DI QUARTERONI FERDINANDO";02124590163;LOCALITÀ FIENILI SNC;LENNA;24010;BG;ITALIA;034582235;info@agriturismoferdy.com;01.5;COLTIVAZIONI AGRICOLE ASSOCIATE ALL'ALLEVAMENTO DI ANIMALI: ATTIVITÀ MISTA;;QUARTERIONI;FERDINANDO;;;22-03-2021;22-03-2022
AZ. AGRICOLA E AGRITURISMO LA CAMILLA;3059710966;VIA DANTE 267, 20863 CONCOREZZO;MONZA;20900;MB;ITALIA;039647289;virginia@lacamilla.it;55.20.52;Attività di alloggio connesse alle aziende agricole;;BASSETTI;GABRIELLA;;;05-06-2022;05-06-2023
AZ. AGRICOLA E AGRITURISMO LA CAMILLA;3059710966;VIA DANTE 267, 20863 CONCOREZZO;MONZA;20900;MB;ITALIA;039647289;virginia@lacamilla.it;55.20.52;Attività di alloggio connesse alle aziende agricole;;BASSETTI;GABRIELLA;;;05-06-2022;05-06-2023
AZ. AGRICOLA E AGRITURISMO LA CAMILLA;3059710966;VIA DANTE 267, 20863 CONCOREZZO;MONZA;20900;MB;ITALIA;039647289;virginia@lacamilla.it;55.20.52;Attività di alloggio connesse alle aziende agricole;;BASSETTI;GABRIELLA;;;05-06-2022;05-06-2023
AZ. AGRICOLA E AGRITURISMO VERDE PIÙ;09078470961;CASCINA TALLONI;MUGGIO';20835;MB;ITALIA;3383866521;cascinatalloni.nadia@gmail.com;55.20.52;Attività di alloggio connesse alle aziende agricole;;POZZI;IVANO;;;;
